name;type;manufacturer;serial_number;model;poz;location;tag
Эл. привод;РэмТэк;ООО НПП ТЭК;21230;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-6;Кш 9.6
Эл. привод;РэмТэк;ООО НПП ТЭК;21221;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-6;Кш 8.6
Эл. привод;РэмТэк;ООО НПП ТЭК;21102;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 206;скв-6;Кр 3\6
Эл. привод;РэмТэк;ООО НПП ТЭК;21159;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 206;скв-6;Зд 1\6
Эл. привод;РэмТэк;ООО НПП ТЭК;21229;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-7;Кш 8.7
Эл. привод;РэмТэк;ООО НПП ТЭК;21240;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-7;Кш 9.7
Эл. привод;РэмТэк;ООО НПП ТЭК;21094;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 206;скв-7;Кр 3\7
Эл. привод;РэмТэк;ООО НПП ТЭК;21147;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 206;скв-7;Зд 1\7
Эл. привод;РэмТэк;ООО НПП ТЭК;212327;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 206;КШМ;КШМ
Эл. привод;РэмТэк;ООО НПП ТЭК;21280;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-1;Кш 8.1
Эл. привод;РэмТэк;ООО НПП ТЭК;0000020;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-1;Кш 9.1
Эл. привод;РэмТэк;ООО НПП ТЭК;22472;Л.18000.4.100.411.8100.V.16.3.УХЛ1;КГС 207;скв-1;Кр 3\1
Эл. привод;РэмТэк;ООО НПП ТЭК;21146;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 207;скв-1;Зд 1\1
Эл. привод;РэмТэк;ООО НПП ТЭК;21241;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-2;Кш 9.2
Эл. привод;РэмТэк;ООО НПП ТЭК;21225;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-2;Кш 8.2
Эл. привод;РэмТэк;ООО НПП ТЭК;21097;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 207;скв-2;Кр 3\2
Эл. привод;РэмТэк;ООО НПП ТЭК;00000046;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 207;скв-2;Зд 1\2
Эл. привод;РэмТэк;ООО НПП ТЭК;21257;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-3;Кш 8.3
Эл. привод;РэмТэк;ООО НПП ТЭК;21237;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-3;Кш 9.3
Эл. привод;РэмТэк;ООО НПП ТЭК;21095;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 207;скв-3;Кр 3\3
Эл. привод;РэмТэк;ООО НПП ТЭК;21149;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 207;скв-3;Зд 1\3
Эл. привод;РэмТэк;ООО НПП ТЭК;21254;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-4;Кш 9.4
Эл. привод;РэмТэк;ООО НПП ТЭК;21244;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-4;Кш 8.4
Эл. привод;РэмТэк;ООО НПП ТЭК;21089;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 207;скв-4;Кр 3\4
Эл. привод;РэмТэк;ООО НПП ТЭК;21153;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 207;скв-4;Зд 1\4
Эл. привод;РэмТэк;ООО НПП ТЭК;00000061;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-5;Кш 8.5
Эл. привод;РэмТэк;ООО НПП ТЭК;00000062;П.250.4.60.8100.V.15.3.УХЛ1;КГС 207;скв-5;Кш 9.5
